"publishedTimeText","simpleText","votes","author","isReply","isHearted","isPinned","isPaid","paidAmount","isSponsor","sponsorshipMonths"
"1 year ago","Reservation on education 🙂","1","@arjitsaxena8715","true","false","false","false","","false",""
"1 year ago"," @shourya14706  Bhai tune itni mehnat krke ""Our"" ko ""Over"" distorted krk likha. Ye dek k to sahi lg rha hai bande ne jo kha.","0","@Htleveryday","true","false","false","false","","false",""
"1 year ago","U shda mentioned->  n(unsuccessful child attempts)=multiply these numbers by 25 {src: Wikipedia). I failed hanging...my vocal chords r kinda distorted and I kinda feel irritation while talking...I lost a load of confidence.... those 25x ppl suffer from permanent fractures,all sorts of worst health issues which makes daily life change drastically in a very bad way and u loose that confidence....","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago (edited)"," @ArjunA-ln3ov  while uh know situation of me I am general candidate I have been occurred in allen 12 th class my st friends daily go gym and daily do parties dating girlfriend s and I was daily studying !in the last exam I was not qualified for iit for 0.5percentile they have score half percentile than me and qualify for jee advance after that I have to be hanged in rope 5 times I was no die don't know why 🙂 as I think god wants something more than from me    My question is that my st friend father income is =14 lakhs is they although wanted reservation! Reservation aap hi btao kya reservation caste basis me milna chiye ki economy basis pe  Kya ye hai hamara desh mahan jaha youth khudko dhng se serve ni krparha general caste ka talent sirf 40.). Seats rkhta hai or reservation 60./. Wtf kya hai ye hai hamara desh mahan arey lavde ka mahan 🙂","1","@arjitsaxena8715","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  bro is ur throat ok?r u ok?did u tell ur parents?...","1","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  vatch noam gershony's video","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  brothers anthem listen","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  we must branch out and schedule entertainment, parallel domains of interest...the narrow mindedness and focus only on jee and engineering aint good","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago"," @ArjunA-ln3ov  my throat is alright but sometimes my head is being pain very much 😐 ! I am not fine as much I am just ok ok health condition I have never tell my parents","1","@arjitsaxena8715","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  tell parents asap","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  is the head ache chronic","1","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago"," @ArjunA-ln3ov  maybe 🙂","1","@arjitsaxena8715","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  since how long have u been having headache","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago"," @ArjunA-ln3ov  since jee mains 2 session","1","@arjitsaxena8715","true","false","false","false","","false",""
"1 year ago"," @arjitsaxena8715  go2doctor asap... multiple doctors... chronic headaches have to be treated asap","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago","The education system of india is this bad that people cannot even make jokes","2","@toprekallz3435","true","false","false","false","","false",""
"1 year ago"," @toprekallz3435  indian education ki sabse buri baat reservation xxx😂","0","@arjitsaxena8715","true","false","false","false","","false",""
"1 year ago","So funny omg","1","@GintokiSakata768","true","false","false","false","","false",""
"1 year ago (edited)","​ @adityaverma6189 yea😂","0","@Lucky69K","true","false","false","false","","false",""
"1 year ago","SYSTUMMMMMMM","1","@rahul-_-504","true","false","false","false","","false",""
"1 year ago","MG","1","@mchandrareddy2253","true","false","false","false","","false",""
"9 months ago","This is one of the reasons why india is still a underdeveloped country","0","@Univox50","true","false","false","false","","false",""
"1 year ago","Everything about our education system is dark☕️","2002","@ayaanmallick6705","false","true","false","false","","false",""
"1 year ago","Yes bro 😢","12","@Moon_walker_0090","true","false","false","false","","false",""
"1 year ago","I was really interested in scientific research but to get into top research institutes like IISc you need to secure a really good rank in jee. Thus I had to give up my dream","23","@naunidhsingh7162","true","false","false","false","","false",""
"1 year ago","The problem our country is not at par with that of USA is the lack of r&d,  which again is due to lack of scientific  temperament among students due to such rat race exams","9","@naunidhsingh7162","true","false","false","false","","false",""
"1 year ago","The problem our country is not at par with that of USA is the lack of r&d,  which again is due to lack of scientific  temperament among students due to such rat race exams","9","@naunidhsingh7162","true","false","false","false","","false",""
"1 year ago","​ @naunidhsingh7162  this is due to poverty and lack of sufficient infrastructure for educational and other basic necessities","11","@ludicrousreality0","true","false","false","false","","false",""
"1 year ago"," @khoonkharr  blessings 🔱🙏🏻","4","@parikshitthakur1123","true","false","false","false","","false",""
"1 year ago","That's right brother","2","@professorthegamer1247","true","false","false","false","","false",""
"1 year ago","😂","1","@Octane_editz","true","false","false","false","","false",""
"1 year ago (edited)","​ @naunidhsingh7162 don't blame your giving up on the system if u have genuine interest in scientific research you would have opted for bsc or smth then MSC and I'm saying all this cuz I am like you and yet i am different ,currently in my final year of bsc (phy major) my first publication will be happening in a few days so ye be motivated and learn every one suffers","8","@albadarqamar7380","true","false","false","false","","false",""
"1 year ago","Indian education System really needs a big change...","4","@Its__AnkitSahu","true","false","false","false","","false",""
"1 year ago","​ @naunidhsingh7162  yeah exactly in order to get into your dream college you need to get a good rank and 😢😢 because of all this most people can't pursue what they're really interested in just like me I can't pursue what I'm really interested in.","4","@sankalpadvani500","true","false","false","false","","false",""
"1 year ago (edited)","​ @sankalpadvani500  yes there should enough space for a person to let him pursue his passion which  our education system lacks","4","@naunidhsingh7162","true","false","false","false","","false",""
"1 year ago","Not everything bruh!! Then y India have the best engineering nd ceos ??  It just force us to do hard ,,,,, the problem is with our parents nd relatives who doesn't care wt situation is ur facing,,, How many of them agree with me👍🏻👍🏻","2","@laddujaswant5728","true","false","false","false","","false",""
"1 year ago","And our parents 😢😢","2","@RAGHUVIR.466","true","false","false","false","","false",""
"1 year ago"," @naunidhsingh7162  yeah exactly i recently gave an entrance and couldn't score according to their criteria and merely because of that I won't be able to pursue my dream from that respective college.","2","@sankalpadvani500","true","false","false","false","","false",""
"1 year ago","The system itself is dark bruv...","0","@prathmeshhambire8585","true","false","false","false","","false",""
"1 year ago"," @RAGHUVIR.466  it's not their fault it's solely because of macualey who designed this education system to make us Indians slaves that's it nothing else aur hum wahi ban rahe hai bas boss ki baat suno aur job karte raho Bina kuch bole","0","@sankalpadvani500","true","false","false","false","","false",""
"1 year ago"," @khoonkharr  That's exactly the same has been happening to me ......and talking about depression ...i really dunno what to do ....like i'm into depression it's just that i'm unable to share this with anyone ....","1","@illhelpyoudude","true","false","false","false","","false",""
"1 year ago","Our education system is darker than space","1","@Roger_PlayZ","true","false","false","false","","false",""
"1 year ago","Yeeah just like my skin","1","@anindyamalik","true","false","false","false","","false",""
"1 year ago","Here:🕯","2","@Madao-the_fallen_angel_samurai","true","false","false","false","","false",""
"1 year ago"," @naunidhsingh7162  bro TBH u re seems dumb because u don't know all the stuff about getting into IISc look IAT exam that's also a new way but why u don't know about that? Seems so dumb to me TBH","0","@khoonkharr","true","false","false","false","","false",""
"1 year ago"," @Its__AnkitSahu  but this will never happen even after 1000 yrs lol","0","@khoonkharr","true","false","false","false","","false",""
"1 year ago"," @laddujaswant5728  bro u re seems so much dumb as that IISc Guy do u know all those guys who are CEOs have spent atleast 5Yrs in research in USA ? Indirectly or directly? Do u know about this?","0","@khoonkharr","true","false","false","false","","false",""
"1 year ago"," @RAGHUVIR.466  they are real enemy 99% parents don't know really what is science. Passion its like whenever they got suggestion they impliment and experiment on u TBH we childrens are the investment indirectly for their old age times. And when they don't get results as they have invested they will blame everything on u. And curse u swear you. Demotivate u make a shop of comparison. Etc hope u understand and this is story of every house expect 0.01%","1","@khoonkharr","true","false","false","false","","false",""
"1 year ago"," @illhelpyoudude  bro i have faced a big bad time because of my interest. And now i am not dipressed at all. Because i know i can do","1","@khoonkharr","true","false","false","false","","false",""
"1 year ago","😂","0","@youtubevideo4520","true","false","false","false","","false",""
"1 year ago","Our  education system isn't racist bro that's why 🤓🤓","0","@Pythagorastheoremmale","true","false","false","false","","false",""
"1 year ago","Bhai apj abdul kalam sir bhi esi system me the","0","@ravindragupta4838","true","false","false","false","","false",""
"1 year ago"," @ravindragupta4838  lekin bhai wo 0.01% me the or us time itna jyada nhi tha jitna aaj hai","2","@khoonkharr","true","false","false","false","","false",""
"1 year ago"," @khoonkharr  All the very best for your life bro...... I just want people like you in my life 🥺","0","@illhelpyoudude","true","false","false","false","","false",""
"1 year ago"," @khoonkharr  ha bhai shi h jab kuch krke dikhane ki himmat na ho toh bus blame kr do system ko..","0","@ravindragupta4838","true","false","false","false","","false",""
"1 year ago"," @khoonkharr  i know ki problem h but hum hi h jo ese thik kr sakte h","0","@ravindragupta4838","true","false","false","false","","false",""
"1 year ago"," @illhelpyoudude  we can become good friends i am in search of people like u","1","@khoonkharr","true","false","false","false","","false",""
"1 year ago"," @ravindragupta4838  bhai aap kuch bhi kh rha ho yrr system to bekar hai he isme blame krni wali konsi baat hai or vese bhi hamara yaha konsa incouragement hota hai achi chizo ka abdul kalam ji pe kabhi aesa pressure nhi tha jo aaj hai students pe logically socho faltu ka gyan mat do","2","@khoonkharr","true","false","false","false","","false",""
"1 year ago"," @ravindragupta4838  bhai  mere me himmat hai or m usi chiz pe kam kr rha hu aap illogical chizo pe ho chalo t batao 90% engineer k paas himmat nhi hai kya ?","1","@khoonkharr","true","false","false","false","","false",""
"1 year ago","​ @khoonkharr  nice 👍👍. I too have a similar situation minus the societal mom","0","@divyanshgarg5434","true","false","false","false","","false",""
"1 year ago"," @divyanshgarg5434  good bro","0","@khoonkharr","true","false","false","false","","false",""
"1 year ago","​ @naunidhsingh7162  I also share the same story 😢","0","@vinitbiradar","true","false","false","false","","false",""
"1 year ago (edited)","Instead of encouraging... Comparison Pressure  Marks","0","@kommalaprabhakar9070","true","false","false","false","","false",""
"1 year ago","Yes bro this Indian education system which has made by Britishers is so much much much bad this make students result oriented not preccess oriented  Isiliye process se jyada result yaad rahta hai😭😭😭😭😭😭😭😭😭😭😭😭😭😭🥺🥺🥺🥺🥺🥺🥺🥺🥺😊","0","@RitikKumar-hj8lr","true","false","false","false","","false",""
"1 year ago"," @RitikKumar-hj8lr  yes bro","0","@khoonkharr","true","false","false","false","","false",""
"1 year ago (edited)","Not as dark as the South Indians that get admitted in every college😂😂 P.S- I'm also from the south .chill","0","@ShankarKumar__","true","false","false","false","","false",""
"1 year ago","Education system ☕","1","@blahblahblah5051","true","false","false","false","","false",""
"1 year ago"," @laddujaswant5728  because India has largest population . Those who've been through survival of the fittest know how the best people are created","0","@itsmypov1","true","false","false","false","","false",""
"1 year ago"," @ShankarKumar__  bro but there is good colleges than north india i mean avg colleges of engineering there is better than here in northern part","0","@khoonkharr","true","false","false","false","","false",""
"1 year ago","Spider man 2099 it's  a Cano event","0","@legofilms2430","true","false","false","false","","false",""
"1 year ago","All due to corruption 😔","2","@Vanshika.26","true","false","false","false","","false",""
"1 year ago","U shda mentioned->  n(unsuccessful child attempts)=multiply these numbers by 25 {src: Wikipedia). I failed hanging...my vocal chords r kinda distorted and I kinda feel irritation while talking...I lost a load of confidence.... those 25x ppl suffer from permanent fractures,all sorts of worst health issues which makes daily life change drastically in a very bad way and u loose that confidence....","2","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago","Its light","0","@chaitanyakhandare1521","true","false","false","false","","false",""
"1 year ago (edited)","​ @ravindragupta4838  apj abdul kalam was good despite the system not because of the system","1","@voltgaming2213","true","false","false","false","","false",""
"1 year ago","I like my coffee dark","0","@cream1723","true","false","false","false","","false",""
"1 year ago","That is why South Indians are smarter💀","0","@preetirawat6600","true","false","false","false","","false",""
"1 year ago","​ @sankalpadvani500  how is that a valid reason,  You are giving excuses. Jee prep makes you better more experienced and matured than other people thus even with the same course you will be better than others, that's why focus on the process. This is a indirect form of learning, by forcing us to prepare for jee, they teach us various life lessons which other people never learn.","0","@viveksawant17","true","false","false","false","","false",""
"1 year ago"," @viveksawant17  well i agree with you but everyone can't clear jee and their are numerous ways to learn things and get matured and the hype that has been created for jee has killed many students what's the point of this it's better to learn real life skills and not this whatever we learn in jee is useless for you and IITs are the best but not bigger than someone's life.","1","@sankalpadvani500","true","false","false","false","","false",""
"1 year ago (edited)"," @naunidhsingh7162 lol if u cant study subjects deeply which is required for jee adv, what wud u do in iisc where iu have to study hardcore science….u r expecting to go into iisc for free?","0","@ayushsarangi4095","true","false","false","false","","false",""
"1 year ago (edited)"," @naunidhsingh7162 first solve jee adv pyqs…then say it asks rote learning","0","@ayushsarangi4095","true","false","false","false","","false",""
"1 year ago (edited)"," @naunidhsingh7162 see iisc is topnotch insti, one of the best in the world…they choose those who prove them that they r very passionate for science…why tf they wud choose u? Just coz u want to there lol…if u want to do research give exams like csir, or do bsc msc, that wud be easier to get","0","@ayushsarangi4095","true","false","false","false","","false",""
"1 year ago (edited)"," @sankalpadvani500 bc to boss ki baat nhi manni to entrepreneur bn ja….ab wh boss k upr macaulay system apply nhi hota kya gadhe?😂","0","@ayushsarangi4095","true","false","false","false","","false",""
"1 year ago (edited)"," @naunidhsingh7162  exams are okay but what's asked in the exam's matters","0","@sankalpadvani500","true","false","false","false","","false",""
"1 year ago","India is full of darkness kuchciz hi usse ujala me leja rha hai","0","@Lucky69K","true","false","false","false","","false",""
"1 year ago","Basically dumb","0","@August5676","true","false","false","false","","false",""
"1 year ago","Not everything think about it carefully","0","@ranajoy05","true","false","false","false","","false",""
"7 months ago","No I don't think that everything in our education system is really dark and bad some things are pleasure full","0","@tipuvarun5760","true","false","false","false","","false",""
"6 months ago","Straight fax","0","@harshharsh6764","true","false","false","false","","false",""
"1 year ago","As I always say - If you are going through hell, Keep Going⚡","1385","@TharunSpeaks","false","false","false","false","","false",""
"1 year ago","Thanks for motivating anna. Every student who prepares iit jee need this motivation anna.","29","@akshayrajuomkaram7538","true","true","false","false","","false",""
"1 year ago","Yo man, i don't know how to approach an question even if i know the equations and problems💔😭","11","@forplustwo9893","true","true","false","false","","false",""
"1 year ago","Doom slayer motivation goes brrrrr  Keep the grind going partners💪🤜","3","@abhaykrishna5269","true","true","false","false","","false",""
"1 year ago","That's the thing, students or anyone who's goin' through situations like that need to  understand...","6","@Satyendra.C19","true","true","false","false","","false",""
"1 year ago","Work under progress 👷‍♂️","0","@novafano1","true","false","false","false","","false",""
"1 year ago","Bro do a video on ur daily, when u wake up and when u go to work plzzz do it","0","@thanmaycoc2090","true","false","false","false","","false",""
"1 year ago","🤚 BHAI KITNA KAMA LETE HO? just a question as you said explore new fields so...😁","2","@novafano1","true","false","false","false","","false",""
"1 year ago","ur motivation strikes the best","0","@user-ld2ek6td6z","true","false","false","false","","false",""
"1 year ago","Bhaiya, I want to talk in English language a like you. Jis tarah aap bolte hai ussi tarh hmko bolna hai bhaiya. Please tell any solution 🙏 ....you are inspiring for me..❤","3","@secretstudy119","true","false","false","false","","false",""
"1 year ago (edited)","because who wanna stay in hell","0","@icyhot9718","true","false","false","false","","false",""
"1 year ago","ARVIND KALIA SIR 🔥🔥","3","@631-DHANUSHSHETTY","true","false","false","false","","false",""
"1 year ago","My eyes are also asymmetric same as yours ❤","0","@homosapienssapiens4848","true","false","false","false","","false",""
"1 year ago","bro plz jaldi lao editing cource","0","@padhanamrutananda","true","false","false","false","","false",""
"1 year ago","video TOH DALO NA BHAIYA ON QUANTUM","0","@KingOFThisFuckinWorld","true","true","false","false","","false",""
"1 year ago","But my family is not supportive fir my career growth...😢 and at this point of time I am very depressed and the next person who will suicide is me😢💔💔💔","3","@rockswayam3941","true","false","false","false","","false",""
"1 year ago","Cause there awaits the average days which you will perceive as heaven 😊","1","@prithvirajabnave6073","true","false","false","false","","false",""
"1 year ago","I am a jee failure want to start a channel what to not do and what to do for jee cracking.i am working on English fluency and editing skills❤️❤️❤️.  We support u and we admire u","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago","And i will teach maths for mains level i can help as ur team and i am engineering 1st year","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago"," @Jeefailuretalks  how are you doin engineering saying a jee failure? bruh it's just exam, some people never gave jee and still live lavish life with beautiful wife😂( jee 2023 kid)","0","@prithvirajabnave6073","true","false","false","false","","false",""
"1 year ago (edited)"," @prithvirajabnave6073  jee 2022 i didn't get  my dream college and branch i feel like I was a failure of that phase","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago (edited)"," @prithvirajabnave6073  yeah 👍 true...","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago","Is going through hell really worth it??? Not like we have a choice but still","0","@padmagonnabattula4030","true","false","false","false","","false",""
"1 year ago","""The strongest steel is forged by the fires of hell""","0","@papercut._.","true","false","false","false","","false",""
"1 year ago (edited)","@@shankara7674 2024 ASPIRANT?","0","@KingOFThisFuckinWorld","true","false","false","false","","false",""
"1 year ago","Thankyou ❤","0","@Manisha-tz6ys","true","false","false","false","","false",""
"1 year ago","Bro I am at 16 now , my name is pranav .Bro I failed in 4 subjects inter 1st year. I am getting suside though, in that depression i adopted smoking 🚬 . I stopped my favourite bodybuilding 🏋️, I losed my confidence, I lost hope on my life, even there is no use of me to any one , even my parents have no use of me . i can't face this any more . i have no mental support and hope on life 😖","0","@pranav_x71","true","false","false","false","","false",""
"1 year ago","Bitter truth 💯💯💯💯","0","@anshpancheshwar5718","true","false","false","false","","false",""
"1 year ago","Anna please help me choose college: CSE 1. Integrated Mtech at VIT,AP 2. Btech at JUET, Guna  3. Btech at LPU (Lovely professional University)","0","@unknown57290","true","false","false","false","","false",""
"1 year ago","Tatakae!","0","@Madao-the_fallen_angel_samurai","true","false","false","false","","false",""
"1 year ago (edited)","@@shankara7674 bhai abhi toh bs startt hei aur tu suicide😂","0","@KingOFThisFuckinWorld","true","false","false","false","","false",""
"1 year ago (edited)","@ Shankara same happening with me also brother i am also so depressed because my father has told me if I could not clear IIT then I have to compromise with my dream and walked on his path that is I have to prepare for bank which I do not want and this makes me thinking of SUICIDE 💔","1","@rockswayam3941","true","false","false","false","","false",""
"1 year ago","I respect your concern about this issue. Indeed there's a lot of pressure on the aspirants. Most of their parents don't consider anything else other than IIT and stuff and those students who can't cross the gap end up leaving it all. Your point on friends - yeah, the present world friends are just like s**t (I feel lucky I've got a few good friends... Not all of us didn't make it to an IIT, but yeah, two of us - me and another friend of mine - are planning to get into th he nearest best college we can get)... they are all concerned on getting their life than pulling other friends along to the victory. I wish to see a ton lot of changes in this. And yeah if the educators could help those few students who can't get into the ""machine work"" (not exactly so, just try to make them unstoppable workers) mode do so, that's a lot good (even better if they could prevent suicides).","0","@samrubenabraham6979","true","false","false","false","","false",""
"1 year ago","To those selfish students who care only about themselves and never about others - just open up, guys? Just because you don't an IIT, you won't be kicked out of the society. Just be human.  To those who are craving for help - guys, relax. If no one loves you, the Almighty does. At least He helped you this far - why don't you forget that pain and  fight back relaxedly to prove your worth?","0","@samrubenabraham6979","true","false","false","false","","false",""
"1 year ago","Anna I inspired by you  And now I am  preparing for jee mains .❤️","0","@Abhi-fj4hb","true","false","false","false","","false",""
"1 year ago","""EPIC""","0","@jee-tx1yu","true","false","false","false","","false",""
"1 year ago","Great words form you","0","@CHSUJANA-lh1sf","true","false","false","false","","false",""
"1 year ago","Tharun bhaiya, there's just 1 of your lines, that keeps me going  ""THE STRONGEST OF STEEL IS FORGED IN THE FIRES OF HELL""","1","@evaranigogoi2282","true","false","false","false","","false",""
"1 year ago","U shda mentioned->  n(unsuccessful child attempts)=multiply these numbers by 25 {src: Wikipedia). I failed hanging...my vocal chords r kinda distorted and I kinda feel irritation while talking...I lost a load of confidence.... those 25x ppl suffer from permanent fractures,all sorts of worst health issues which makes daily life change drastically in a very bad way and u loose that confidence....","0","@ArjunA-ln3ov","true","false","false","false","","false",""
"1 year ago","Solution is not at all practical😊","0","@ujjwalgoyal1552","true","false","false","false","","false",""
"1 year ago","wo sab choro itna glow up kaise hua ?? :D ....hame bhi hona hai","1","@xcenzo964","true","false","false","false","","false",""
"1 year ago","i am depressed for 2 years even i advise others but i cant use it in my life... life is totally hell ... people think there is no importance of study , scientist , they have only importance of marks , result .... even parents.... i hate the fa**ing world...","0","@debanja2005","true","false","false","false","","false",""
"1 year ago","i am a jee aspirant also ... no one Interrupt me, but there is no freedom there is no own style to study ... i cant explain but it is not that life what i want...","0","@debanja2005","true","false","false","false","","false",""
"1 year ago (edited)","https://youtu.be/Wx0PM1QUsjQ","0","@dikshaiti","true","false","false","false","","false",""
"1 year ago (edited)","​ @rockswayam3941 You want to close book of your life because of chp of life","0","@Education.vs.Emerging-Skills","true","false","false","false","","false",""
"1 year ago","Tharun Bhai in other words  u can tell ""to go forward in life feel the PAIN if not feeling PAIN we are not progressing ...just being in COMFORT ZONE""","0","@SureshKumar-fr8us","true","false","false","false","","false",""
"1 year ago","HC Varma in class 6th ?","0","@Allay-xs8nr","true","false","false","false","","false",""
"1 year ago","Tharun bhaiya pls i want your help if you are reading this, its about counselling iam getting mechanical (5yrs) mtech in iit bhubaneswar and i ca get IT in iiit gwalior or ece in iiit alahabad or eee in bit warrangal,calicut.and i just want my placement to be secure, but everyone are telling me to take iit bb cause it will gve me an iitian tag, but will it really matters or i should take circuital brqnch inn top nits","0","@DARK-T","true","false","false","false","","false",""
"1 year ago","Sir i am in class 11 preparing for jee 25 please giude me for maths especially in problem solving and revision......... 😊😊😊😊😊","1","@thefacts7611","true","false","false","false","","false",""
"1 year ago","@TharunSpeaks Is something happening with Garima di😅😅","0","@abhay_speaks948","true","false","false","false","","false",""
"1 year ago","Bhaiyaa unnava leva no videos from u anna we need u anna hlo ❤","0","@PrashanthBanoth-997","true","false","false","false","","false",""
"1 year ago","Wise words man Respect+++","0","@sCorp_03","true","false","false","false","","false",""
"11 months ago","years of hard work , just few months of happiness ( between jee and college joining ) , we have to restart again after entering IIT  😓🤕","0","@aswingoodboy4234","true","false","false","false","","false",""
"1 year ago","As I always say - If you are going through hell, Keep Going⚡","1370","@TharunSpeaks","false","false","true","false","","false",""
"1 year ago","Thanks for motivating anna. Every student who prepares iit jee need this motivation anna.","29","@akshayrajuomkaram7538","true","true","false","false","","false",""
"1 year ago","Yo man, i don't know how to approach an question even if i know the equations and problems💔😭","11","@forplustwo9893","true","true","false","false","","false",""
"1 year ago","Doom slayer motivation goes brrrrr  Keep the grind going partners💪🤜","3","@abhaykrishna5269","true","true","false","false","","false",""
"1 year ago","That's the thing, students or anyone who's goin' through situations like that need to  understand...","6","@Satyendra.C19","true","true","false","false","","false",""
"1 year ago","Work under progress 👷‍♂️","0","@novafano1","true","false","false","false","","false",""
"1 year ago","Bro do a video on ur daily, when u wake up and when u go to work plzzz do it","0","@thanmaycoc2090","true","false","false","false","","false",""
"1 year ago","🤚 BHAI KITNA KAMA LETE HO? just a question as you said explore new fields so...😁","2","@novafano1","true","false","false","false","","false",""
"1 year ago","ur motivation strikes the best","0","@user-ld2ek6td6z","true","false","false","false","","false",""
"1 year ago","Bhaiya, I want to talk in English language a like you. Jis tarah aap bolte hai ussi tarh hmko bolna hai bhaiya. Please tell any solution 🙏 ....you are inspiring for me..❤","3","@secretstudy119","true","false","false","false","","false",""
"1 year ago (edited)","because who wanna stay in hell","0","@icyhot9718","true","false","false","false","","false",""
"1 year ago","ARVIND KALIA SIR 🔥🔥","3","@631-DHANUSHSHETTY","true","false","false","false","","false",""
"1 year ago","My eyes are also asymmetric same as yours ❤","0","@homosapienssapiens4848","true","false","false","false","","false",""
"1 year ago","bro plz jaldi lao editing cource","0","@padhanamrutananda","true","false","false","false","","false",""
"1 year ago","video TOH DALO NA BHAIYA ON QUANTUM","0","@KingOFThisFuckinWorld","true","true","false","false","","false",""
"1 year ago","But my family is not supportive fir my career growth...😢 and at this point of time I am very depressed and the next person who will suicide is me😢💔💔💔","3","@rockswayam3941","true","false","false","false","","false",""
"1 year ago","Cause there awaits the average days which you will perceive as heaven 😊","1","@prithvirajabnave6073","true","false","false","false","","false",""
"1 year ago","I am a jee failure want to start a channel what to not do and what to do for jee cracking.i am working on English fluency and editing skills❤️❤️❤️.  We support u and we admire u","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago","And i will teach maths for mains level i can help as ur team and i am engineering 1st year","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago"," @Jeefailuretalks  how are you doin engineering saying a jee failure? bruh it's just exam, some people never gave jee and still live lavish life with beautiful wife😂( jee 2023 kid)","0","@prithvirajabnave6073","true","false","false","false","","false",""
"1 year ago (edited)"," @prithvirajabnave6073  jee 2022 i didn't get  my dream college and branch i feel like I was a failure of that phase","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago (edited)"," @prithvirajabnave6073  yeah 👍 true...","0","@Jeefailuretalks","true","false","false","false","","false",""
"1 year ago","Is going through hell really worth it??? Not like we have a choice but still","0","@padmagonnabattula4030","true","false","false","false","","false",""
